Unitats;Localitat;Grup;Municipi;Superfície;Inici d'activitat;Denominació comercial;Places;Signatura
11;Llucmajor;Agroturisme;LLUCMAJOR;;29/09/2017;FINCA GOMERA;22;AG/334
8;Petra;Agroturisme;PETRA;;02/10/2017;EL PUEBLO;24;AG/335
30;Capdepera;Agroturisme;CAPDEPERA;;29/09/2017;PLETA DE MAR;60;AG/337
4;Petra;Agroturisme;PETRA;;04/10/2017;SON CALÓ;10;AG/338
10;Sant Llorenç Del Cardassar;Agroturisme;SANT LLORENÇ DES CARDASSAR;0;02/10/2017;CA NA NINA;22;AG/339
6;Manacor;Agroturisme;MANACOR;;27/07/1994;S´AIGO;12;AG/34
7;Alaró;Agroturisme;ALARÓ;;16/08/2017;FINCA CAN SEC;13;AG/340
13;Llucmajor;Agroturisme;LLUCMAJOR;;02/10/2017;ES LLOBETS;26;AG/341
9;Sant Joan;Agroturisme;SANT JOAN;;04/10/2017;GOSSALBA;20;AG/342
12;Porreres;Agroturisme;PORRERES;;04/10/2017;AGROTURISMO SES VISTES;24;AG/343
7;Muro;Agroturisme;MURO;;04/10/2017;CAN CORRITX;22;AG/344
3;Sencelles;Agroturisme;SENCELLES;;04/10/2017;CAN RIBAS;6;AG/345
14;Artà;Agroturisme;ARTÀ;31553;14/06/2017;FINCA SESTELRICA;28;AG/346
25;Binissalem;Agroturisme;BINISSALEM;;29/09/2017;FINCA DALT MURADA;50;AG/347
15;Santanyí;Agroturisme;SANTANYÍ;;29/09/2017;CAL REIET;30;AG/348
22;Llucmajor;Agroturisme;LLUCMAJOR;336161;18/09/2017;VMG HORSE RANCH;44;AG/349
10;Campos;Agroturisme;CAMPOS;;26/08/1994;ES FIGUERAL;22;AG/35
16;Horta (L´);Agroturisme;FELANITX;0;18/07/2017;POSSESSIO DE S´HORTA;40;AG/352
7;Caimari;Agroturisme;SELVA;;16/03/2018;SA PARELLADA;14;AG/353
18;Son Carrió;Agroturisme;SANT LLORENÇ DES CARDASSAR;510111;17/05/2018;CA´N AGUSTIN;33;AG/356
13;Peguera;Agroturisme;CALVIÀ;1086368;24/07/2018;LAS BARRACAS COUNTRY LODGE;26;AG/357
16;Manacor;Agroturisme;MANACOR;31963;17/10/2018;OLLYMAR;32;AG/358
11;Inca;Agroturisme;INCA;21000;11/01/2019;EL LIMONAR DE MALLORCA;22;AG/359
11;Campos;Agroturisme;CAMPOS;;26/08/1994;ES TORRENT;21;AG/36
13;Pollença;Agroturisme;POLLENÇA;2670300;10/03/2020;SON GRUA;26;AG/361
31;Artà;Agroturisme;ARTÀ;1849165;24/07/2020;ES RACÓ D´ARTÀ;68;AG/362
7;Manacor;Agroturisme;MANACOR;292025;19/04/2021;FINCA AUBOCASSA;12;AG/363
25;Sant Joan;Agroturisme;SANT JOAN;162177;07/06/2021;FINCA SA BASTIDA LUXURY RETREAT & SPA;52;AG/364
5;Llucmajor;Agroturisme;LLUCMAJOR;246872;16/06/2022;FINCA SON SAMPOL;16;AG/365
2;Costitx;Agroturisme;COSTITX;26388;16/09/2021;CAL TIO;4;AG/366
19;Covetes (Les);Agroturisme;CAMPOS;40981;30/08/2021;CANTO DE MARINA;38;AG/367
4;Caimari;Agroturisme;SELVA;168237;26/05/2023;SUBIES;8;AG/368
24;Pobla (La);Agroturisme;SA POBLA;1179484;18/05/2023;THE LODGE;48;AG/369
20;Campos;Agroturisme;CAMPOS;;26/08/1994;CAN CANALS;46;AG/37
8;Algaida;Agroturisme;ALGAIDA;101467;04/06/2023;TREURER;16;AG/370
11;Manacor;Agroturisme;MANACOR;87482;10/01/2024;SON AMARET;22;AG/371
4;Llucmajor;Agroturisme;LLUCMAJOR;183544;07/03/2024;SON VIDAL;18;AG/372
15;Pobla (La);Agroturisme;SA POBLA;210546;01/06/2024;SON SABATER;30;AG/373
7;Porreres;Agroturisme;PORRERES;306555;11/09/2024;FINCA SON OMS;16;AG/374
11;Esporles;Agroturisme;ESPORLES;122769;31/07/2024;SON SIMONET;22;AG/375
6;Inca;Agroturisme;INCA;649000;05/02/2025;SON SERIOL;12;AG/376
6;Felanitx;Agroturisme;FELANITX;30692;20/12/2024;BLUE DOOR MALLORCA;12;AG/377
3;Sant Llorenç Del Cardassar;Agroturisme;SANT LLORENÇ DES CARDASSAR;26814;08/07/2025;SES SITGES;6;AG/378
6;Campos;Agroturisme;CAMPOS;;26/08/1994;SON RENGO;12;AG/38
12;Caimari;Agroturisme;SELVA;;26/08/1994;PETITA MARE;24;AG/39
3;Fornalutx;Agroturisme;FORNALUTX;;20/09/1994;CAN DET;6;AG/40
8;Manacor;Agroturisme;MANACOR;;07/11/1994;SES ROTETES;16;AG/43
4;Pollença;Agroturisme;POLLENÇA;;01/12/1994;ELS CASALS;6;AG/44
4;Llucmajor;Agroturisme;LLUCMAJOR;;07/12/1994;SON GALILEU;8;AG/45
10;Manacor;Agroturisme;MANACOR;;28/04/1999;SON JOSEP DE BAIX;26;AG/48
16;Selva;Agroturisme;SELVA;263295;31/07/1995;FINCA ALBELLONS;32;AG/49
7;Manacor;Agroturisme;MANACOR;;20/07/1992;ES RAFAL PODENT;19;AG/5
1;Alcúdia;Agroturisme;ALCÚDIA;;09/10/1995;ES CAP DE SES ROQUES;2;AG/50
6;Llucmajor;Agroturisme;LLUCMAJOR;;26/02/1996;LA VERANA;12;AG/51
9;Pobla (La);Agroturisme;SA POBLA;;08/02/1996;SON CLADERA;20;AG/52
9;Maria De La Salut;Agroturisme;MARIA DE LA SALUT;;08/02/1996;SON FOGUERÓ;18;AG/53
