Categoria;Unitats;Direcció;Hotel de ciutat;Localitat;UTM (X);Grup;Subgrup;Memoria descriptiva;Municipi;Superfície;Inici d'activitat;Denominació comercial;UTM(Y);Places;Excepcions ratio turístic;Explotador/s;Signatura;Estat;longitude;latitude
;6;POLÍGON 24, PARCEL·LA 776 CTRA. MANACOR -FELANITX KM.5, S/N. 07500 MANACOR, Mallorca;;Manacor;516230.85;Agroturisme;Allotjaments;;MANACOR;;24/05/2007;ES PLA DE LLODRA;4375864.24;12;;MARGARITA DURAN SITGES;AG/170;Alta;3.188864213537332;39.532282163848954
;6;POLÍGON 30, PARCEL·LES 19, 20, 53 I 54, S/N. 07200 FELANITX, Mallorca;;Felanitx;520903.11;Agroturisme;Allotjaments;;FELANITX;;18/06/2007;CAN TORT;4366542.3;12;;ANDRES BINIMELIS GARCIAS;AG/172;Alta;3.242938323681942;39.448185636358666
;8;POLÍGON 17, PARCEL·LA 51, S/N. 07313 SELVA, Mallorca;;Selva;492046.13;Agroturisme;Allotjaments;;SELVA;;07/12/2007;S´HORT DE CAS MISSÉ;4400563.68;16;;HORT DE CAS MISSER, SL (B16663999);AG/174;Alta;2.9071504343835763;39.754949248244955
;9;Polígon  9, PARCELA 175. 07313 SELVA, Mallorca;;Selva;493854.28;Agroturisme;Allotjaments;;SELVA;;07/12/2007;SON OLIVE;4399892.99;18;;JUTTAS-WORLD, SL (B57629586);AG/175;Alta;2.928264138495396;39.748921173706364
;1;PARCEL·LA 196,POLÍGON. 4, S/N. 07519 MARIA DE LA SALUT, Mallorca;;Maria De La Salut;507468.86;Agroturisme;Allotjaments;;MARIA DE LA SALUT;;14/01/2008;DEULOSAL;4390681.62;4;;CARMEN CALDENTEY PASCUAL;AG/176;Alta;3.0870757925456176;39.665913870760726
;12;POLIGON 5, PARCEL·LES 201, 202, 203, 206, 207, 208 I 210, S/N. 07260 PORRERES, Mallorca;;Porreres;502644.478605;Agroturisme;Allotjaments;;PORRERES;;02/04/2008;SON ROIG;4373072.21326;24;;FRANCISCA BONET SUÑER;AG/177;Alta;3.0307604630394986;39.50727382181772
;11;ESPORLES, KM 4,300 (FINCA SON QUINT), S/N. 07190 ESPORLES, Mallorca;;Esporles;465364.208294;Agroturisme;Allotjaments;;ESPORLES;;09/04/2008;CAN TORNA;4389906.72009;22;;MORO & MALUS S.L.U (B72915176);AG/178;Alta;2.5962433389787765;39.65826263301715
;6;V-PARCELA 357-359, S/N. 07520 PETRA, Mallorca;;Petra;508018.91;Agroturisme;Allotjaments;;PETRA;;12/05/2008;SON TORRAT;4382663.17;12;;MATEO MARTI PONS;AG/179;Alta;3.093391359899458;39.593659704042935
;6;Carretera LLUCMAJOR- PORRERES,KM.3´5, S/N. 07620 LLUCMAJOR, Mallorca;;Llucmajor;491627.167462;Agroturisme;Allotjaments;;LLUCMAJOR;;14/10/1993;SON SAMA;4371026.43784;14;;EXPLOTACIONES AGROPECUARIAS SON SAMA SL (B07167653);AG/18;Alta;2.902633347378481;39.488803493526525
;5;Polígon 1, PARCEL·LA 3. 07360 LLOSETA, Mallorca;;Lloseta;487870.983287;Agroturisme;Allotjaments;;LLOSETA;;28/08/2008;FILICUMIS;4396718.86237;17;;HERMANOS RIERA JAUME CB (E07497613);AG/180;Alta;2.858482809251216;39.720257514947725
;8;POLIGON 5, PARCEL·LA 75,, S/N. 07450 SANTA MARGALIDA, Mallorca;;Santa Margalida;513259.087971;Agroturisme;Allotjaments;;SANTA MARGALIDA;;03/12/2008;MANSION SA CAPELLA;4396805.83895;22;;AGROMISTICA SA CAPELLA, SL (B57423394);AG/181;Alta;3.1547041808455867;39.72102437160701
;20;POLIGON 3, PARCEL·LA 307, S/N. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca;;Sant Llorenç Del Cardassar;524821.33;Agroturisme;Allotjaments;;SANT LLORENÇ DES CARDASSAR;;03/12/2008;AGROTURISME SON PENYA;4382795.48;40;;HOTEL LLAUT PALACE SL (B57953366);AG/182;Alta;3.2890823179849207;39.59452980504671
